date,year,month,day,adj_close
12/7/12,2012,12,7,71.174663
12/10/12,2012,12,10,70.716845
12/11/12,2012,12,11,72.261136
12/12/12,2012,12,12,71.942133
12/13/12,2012,12,13,70.699495
12/14/12,2012,12,14,68.043375
12/17/12,2012,12,17,69.249973
12/18/12,2012,12,18,71.261421
12/19/12,2012,12,19,70.248355
12/20/12,2012,12,20,69.637051
12/21/12,2012,12,21,69.316715
12/24/12,2012,12,24,69.428828
12/26/12,2012,12,26,68.471825
12/27/12,2012,12,27,68.746783
12/28/12,2012,12,28,68.016679
12/31/12,2012,12,31,71.030509
1/2/13,2013,1,2,73.280868
1/3/13,2013,1,3,72.355899
1/4/13,2013,1,4,70.340452
1/7/13,2013,1,7,69.926686
1/8/13,2013,1,8,70.114886
1/9/13,2013,1,9,69.019068
1/10/13,2013,1,10,69.874628
1/11/13,2013,1,11,69.446185
1/14/13,2013,1,14,66.970253
1/15/13,2013,1,15,64.85737
1/16/13,2013,1,16,67.549523
1/17/13,2013,1,17,67.094384
1/18/13,2013,1,18,66.736675
1/22/13,2013,1,22,67.373341
1/23/13,2013,1,23,68.606634
1/24/13,2013,1,24,60.129739
1/25/13,2013,1,25,58.712255
1/28/13,2013,1,28,60.040315
1/29/13,2013,1,29,61.166827
1/30/13,2013,1,30,60.974629
1/31/13,2013,1,31,60.795774
2/1/13,2013,2,1,60.546178
2/4/13,2013,2,4,59.037931
2/5/13,2013,2,5,61.109438
2/6/13,2013,2,6,61.044036
2/7/13,2013,2,7,62.859111
2/8/13,2013,2,8,63.766649
2/11/13,2013,2,11,64.431195
2/12/13,2013,2,12,62.81615
2/13/13,2013,2,13,62.696665
2/14/13,2013,2,14,62.640282
2/15/13,2013,2,15,61.777047
2/19/13,2013,2,19,61.754225
2/20/13,2013,2,20,60.258665
2/21/13,2013,2,21,59.884104
2/22/13,2013,2,22,60.521796
2/25/13,2013,2,25,59.446442
2/26/13,2013,2,26,60.274775
2/27/13,2013,2,27,59.684067
2/28/13,2013,2,28,59.258493
3/1/13,2013,3,1,57.791128
3/4/13,2013,3,4,56.392227
3/5/13,2013,3,5,57.881073
3/6/13,2013,3,6,57.145377
3/7/13,2013,3,7,57.805894
3/8/13,2013,3,8,57.95894
3/11/13,2013,3,11,58.784585
3/12/13,2013,3,12,57.517253
3/13/13,2013,3,13,57.506512
3/14/13,2013,3,14,58.063655
3/15/13,2013,3,15,59.561901
3/18/13,2013,3,18,61.180972
3/19/13,2013,3,19,61.015837
3/20/13,2013,3,20,60.692294
3/21/13,2013,3,21,60.779557
3/22/13,2013,3,22,62.011986
3/25/13,2013,3,25,62.236186
3/26/13,2013,3,26,61.908612
3/27/13,2013,3,27,60.692294
3/28/13,2013,3,28,59.42765
4/1/13,2013,4,1,57.581695
4/2/13,2013,4,2,57.699835
4/3/13,2013,4,3,57.995187
4/4/13,2013,4,4,57.421934
4/5/13,2013,4,5,56.815119
4/8/13,2013,4,8,57.219215
4/9/13,2013,4,9,57.322589
4/10/13,2013,4,10,58.491918
4/11/13,2013,4,11,58.309335
4/12/13,2013,4,12,57.701179
4/15/13,2013,4,15,56.36538
4/16/13,2013,4,16,57.223245
4/17/13,2013,4,17,54.076396
4/18/13,2013,4,18,52.633192
4/19/13,2013,4,19,52.429133
4/22/13,2013,4,22,53.521938
4/23/13,2013,4,23,54.52345
4/24/13,2013,4,24,54.433501
4/25/13,2013,4,25,54.825517
4/26/13,2013,4,26,56.009611
4/29/13,2013,4,29,57.744137
4/30/13,2013,4,30,59.443757
5/1/13,2013,5,1,58.975222
5/2/13,2013,5,2,59.811607
5/3/13,2013,5,3,60.41037
5/6/13,2013,5,6,61.850881
5/7/13,2013,5,7,61.575669
5/8/13,2013,5,8,62.271088
5/9/13,2013,5,9,61.727821
5/10/13,2013,5,10,61.214292
5/13/13,2013,5,13,61.453494
5/14/13,2013,5,14,59.983171
5/15/13,2013,5,15,57.954721
5/16/13,2013,5,16,58.729073
5/17/13,2013,5,17,58.550688
5/20/13,2013,5,20,59.85749
5/21/13,2013,5,21,59.415582
5/22/13,2013,5,22,59.643968
5/23/13,2013,5,23,59.750729
5/24/13,2013,5,24,60.1575
5/28/13,2013,5,28,59.656132
5/29/13,2013,5,29,60.130471
5/30/13,2013,5,30,61.026449
5/31/13,2013,5,31,60.776444
6/3/13,2013,6,3,60.91023
6/4/13,2013,6,4,60.71968
6/5/13,2013,6,5,60.152094
6/6/13,2013,6,6,59.253414
6/7/13,2013,6,7,59.706133
6/10/13,2013,6,10,59.311523
6/11/13,2013,6,11,59.137194
6/12/13,2013,6,12,58.406087
6/13/13,2013,6,13,58.915563
6/14/13,2013,6,14,58.116889
6/17/13,2013,6,17,58.380412
6/18/13,2013,6,18,58.349327
6/19/13,2013,6,19,57.164151
6/20/13,2013,6,20,56.331692
6/21/13,2013,6,21,55.880325
6/24/13,2013,6,24,54.399191
6/25/13,2013,6,25,54.411352
6/26/13,2013,6,26,53.795115
6/27/13,2013,6,27,53.215364
6/28/13,2013,6,28,53.587002
7/1/13,2013,7,1,55.301924
7/2/13,2013,7,2,56.554672
7/3/13,2013,7,3,56.866844
7/5/13,2013,7,5,56.410071
7/8/13,2013,7,8,56.089792
7/9/13,2013,7,9,57.07631
7/10/13,2013,7,10,56.857385
7/11/13,2013,7,11,57.743901
7/12/13,2013,7,12,57.638493
7/15/13,2013,7,15,57.764175
7/16/13,2013,7,16,58.137158
7/17/13,2013,7,17,58.152026
7/18/13,2013,7,18,58.347978
7/19/13,2013,7,19,57.427674
7/22/13,2013,7,22,57.611465
7/23/13,2013,7,23,56.62224
7/24/13,2013,7,24,59.530451
7/25/13,2013,7,25,59.258819
7/26/13,2013,7,26,59.59532
7/29/13,2013,7,29,60.51427
7/30/13,2013,7,30,61.261594
7/31/13,2013,7,31,61.15483
8/1/13,2013,8,1,61.71566
8/2/13,2013,8,2,62.50758
8/5/13,2013,8,5,63.441397
8/6/13,2013,8,6,62.873812
8/7/13,2013,8,7,62.837321
8/8/13,2013,8,8,62.712171
8/9/13,2013,8,9,61.819794
8/12/13,2013,8,12,63.575974
8/13/13,2013,8,13,66.597243
8/14/13,2013,8,14,67.812014
8/15/13,2013,8,15,67.731751
8/16/13,2013,8,16,68.333016
8/19/13,2013,8,19,69.06895
8/20/13,2013,8,20,68.161615
8/21/13,2013,8,21,68.337099
8/22/13,2013,8,22,68.418713
8/23/13,2013,8,23,68.154815
8/26/13,2013,8,26,68.420078
8/27/13,2013,8,27,66.463932
8/28/13,2013,8,28,66.778168
8/29/13,2013,8,29,66.886996
8/30/13,2013,8,30,66.277572
9/3/13,2013,9,3,66.462573
9/4/13,2013,9,4,67.837862
9/5/13,2013,9,5,67.372625
9/6/13,2013,9,6,67.773924
9/9/13,2013,9,9,68.855377
9/10/13,2013,9,10,67.286929
